metric,value
base_trips,3770193.0
additional_trips,6413.0
additional_trips_pct,0.0017009739289208803
typical_revenue_per_trip,29.152084422468455
driver_revenue_share,0.5
additional_company_revenue,93476.1587006451
total_bonus_paid,2340815.0
net_program_cost,2247338.841299355
net_cost_per_additional_trip,350.4348731170053
tier1_threshold,55.0
tier1_reward_pct,0.05
tier1_marginal_reward,40.0
tier1_lower_bound,52.64189718238524
tier1_total_reward,40.0
tier1_total_earnings_increase_at_threshold,0.04989507554473152
tier2_threshold,80.0
tier2_reward_pct,0.06569713556299708
tier2_marginal_reward,75.0
tier2_total_reward,115.0
tier2_lower_bound,75.63268328634334
tier2_total_earnings_increase_at_threshold,0.0986207352563834
